ID,CUSTOMER_ID,DATA_USAGE,MINUTE_USAGE,SMS_USAGE,PAYMENT_STATUS
1,1,18420.61,851,196,PAID
2,2,0,0,4326,PAID
3,3,0,0,477,PAID
4,4,7879.83,66,369,PAID
5,5,1052.43,31,43,PAID
7,7,10426.65,830,19,PAID
8,8,11877.63,816,25,PAID
9,9,4512.77,24,410,LATE
11,11,5378.43,847,168,PAID
12,12,0,0,8401,PAID
13,13,6195.32,492,127,LATE
14,14,1702.44,52,378,LATE
15,15,13548.6,842,663,PAID
16,16,8963.09,280,61,PAID
17,17,11798.25,790,238,LATE
18,18,7204.53,536,150,LATE
19,19,0,0,4575,UNPAID
20,20,1250.77,42,25,UNPAID
21,21,5649.04,445,526,LATE
22,22,0,0,9322,UNPAID
23,23,6476.88,89,181,LATE
24,24,0,0,5443,PAID
25,25,1840.34,522,464,UNPAID
26,26,0,0,8609,PAID
27,27,0,0,4194,PAID
28,28,9603.74,531,410,PAID
29,29,8605.97,127,141,PAID
30,30,19378.38,215,97,PAID
32,32,5780.5,560,204,PAID
33,33,14505.3,46,877,UNPAID
34,34,8373.85,809,209,PAID
35,35,1861.44,72,978,PAID
36,36,623.97,544,265,UNPAID
37,37,0,0,2613,PAID
38,38,8786.73,298,8,PAID
40,40,8899.47,461,572,UNPAID
41,41,0,0,9055,PAID
42,42,9075.72,497,314,PAID
43,43,18680.21,730,160,PAID
44,44,8588.61,149,423,LATE
46,46,19836.26,248,189,PAID
47,47,0,0,6701,PAID
48,48,0,0,4808,UNPAID
49,49,15276.16,907,965,PAID
50,50,6031.29,154,372,LATE
51,51,10395.95,207,195,PAID
52,52,0,0,1760,PAID
53,53,7716.97,469,467,PAID
54,54,7885.62,626,657,UNPAID
55,55,9150.41,936,75,PAID
56,56,13929.35,921,40,PAID
57,57,10020.47,367,187,UNPAID
58,58,0,0,8908,PAID
59,59,17259.35,844,238,PAID
60,60,0,0,3379,PAID
61,61,5024.54,688,902,PAID
62,62,11671.83,263,712,PAID
63,63,8770.4,432,128,LATE
64,64,7522.21,85,381,PAID
65,65,6235.58,153,2,PAID
66,66,8515.7,333,109,PAID
67,67,1177.1,279,40,LATE
68,68,0,0,7734,PAID
69,69,708.61,107,311,PAID
70,70,636.44,259,246,PAID
71,71,138.78,289,330,UNPAID
72,72,0,0,2992,PAID
73,73,2724.3,104,292,PAID
74,74,12189.88,178,23,PAID
75,75,14491.39,294,23,LATE
76,76,3684.26,221,336,PAID
77,77,0,0,2665,LATE
78,78,18022.38,779,39,PAID
79,79,7512.69,48,372,LATE
80,80,464.92,375,326,PAID
82,82,5977.94,518,240,PAID
83,83,10366.65,981,762,UNPAID
84,84,9183.85,809,567,PAID
85,85,0,0,6407,LATE
86,86,4176.14,317,946,PAID
87,87,3896.79,330,364,PAID
88,88,3642.37,241,402,PAID
89,89,3485.57,134,431,PAID
90,90,0,0,2816,PAID
91,91,993.23,204,222,PAID
92,92,3341.8,787,236,PAID
93,93,19940.31,544,135,LATE
94,94,1794.25,662,4,PAID
95,95,0,0,8409,PAID
96,96,765.7,109,233,PAID
97,97,6437.54,283,584,PAID
98,98,1294.15,136,216,PAID
99,99,10237.7,4,32,PAID
100,100,226.99,217,72,LATE
101,101,16436.83,672,485,PAID
102,102,0,0,2484,PAID
103,103,5671.4,344,111,UNPAID
104,104,9988.62,201,387,LATE
105,105,6294.02,519,484,PAID
106,106,8398.85,748,711,PAID
107,107,0,0,2854,PAID
108,108,15769.42,942,121,PAID
109,109,3859.24,26,54,PAID
110,110,4645.06,963,80,UNPAID
111,111,7654.47,260,545,PAID
112,112,4603.82,60,188,UNPAID
113,113,5550.9,628,201,PAID
114,114,5657.47,365,64,PAID
115,115,4172.96,31,876,PAID
117,117,6063.88,76,402,PAID
118,118,17804.38,652,804,UNPAID
119,119,1353.23,114,396,PAID
120,120,3278.44,47,573,PAID
121,121,15084.93,777,291,PAID
122,122,6996.87,408,32,PAID
123,123,0,0,7223,PAID
124,124,18358.77,752,175,UNPAID
125,125,726.05,363,257,LATE
126,126,7438.96,489,522,PAID
127,127,13481.19,882,951,PAID
128,128,9184.45,547,13,UNPAID
129,129,13906.65,113,194,PAID
130,130,0,0,751,PAID
131,131,19208.11,554,158,LATE
132,132,14057.64,967,518,PAID
133,133,3555.24,243,557,PAID
134,134,774.08,440,285,PAID
135,135,0,0,4273,PAID
137,137,10765.74,739,205,PAID
138,138,9568.02,401,586,UNPAID
139,139,10011.72,58,85,UNPAID
141,141,5239.66,927,8,UNPAID
142,142,2456.21,254,18,PAID
143,143,0,0,958,UNPAID
144,144,6986.98,426,679,PAID
145,145,0,0,9031,PAID
146,146,17001.68,268,95,PAID
147,147,6053.09,141,996,PAID
148,148,9243.89,184,198,PAID
149,149,18986.99,473,166,PAID
150,150,139.92,682,145,PAID
151,151,11265.76,337,422,PAID
152,152,0,0,5150,PAID
153,153,2663.75,454,445,PAID
154,154,6301.34,181,494,PAID
155,155,8353.09,452,161,LATE
157,157,6408.03,0,138,PAID
158,158,16805.24,365,352,PAID
159,159,1801.82,791,213,LATE
160,160,9686.68,537,119,PAID
161,161,11685.62,845,51,PAID
162,162,0,0,1804,PAID
163,163,11166.36,579,174,PAID
164,164,2861.39,571,224,PAID
165,165,2606.59,234,126,UNPAID
166,166,1701.84,161,331,UNPAID
167,167,2812.27,387,230,PAID
168,168,0,0,2058,PAID
169,169,3323.96,372,494,LATE
170,170,4706.89,711,847,LATE
171,171,0,0,7446,LATE
172,172,795.96,401,57,PAID
173,173,2498.32,518,135,PAID
174,174,0,0,3422,PAID
175,175,2470.77,405,353,PAID
176,176,12123.46,204,97,PAID
177,177,16603.13,80,292,LATE
178,178,20420.62,604,258,PAID
179,179,15314.84,431,845,PAID
180,180,5308.22,513,938,PAID
181,181,15524.33,634,46,PAID
182,182,103.47,367,165,PAID
183,183,13012.53,237,66,PAID
184,184,6087.26,138,238,PAID
185,185,4900.1,442,154,LATE
186,186,0,0,431,LATE
187,187,5998.84,536,450,UNPAID
188,188,0,0,3162,PAID
189,189,0,0,3715,PAID
190,190,2614.93,313,346,PAID
191,191,0,0,3874,LATE
192,192,4830.68,985,331,PAID
193,193,243.41,349,507,PAID
194,194,5643.12,594,566,PAID
195,195,16517.36,975,109,PAID
196,196,11601.87,759,34,PAID
197,197,0,0,118,PAID
198,198,15894.39,909,197,PAID
199,199,0,0,4554,PAID
200,200,9182.35,805,51,PAID
201,201,6598.05,361,175,PAID
202,202,0,0,7884,LATE
203,203,0,0,276,PAID
204,204,5409.83,436,500,PAID
206,206,0,0,1531,UNPAID
207,207,13117.52,268,453,PAID
208,208,2407.23,869,708,PAID
209,209,18757.35,174,527,LATE
210,210,0,0,4807,PAID
212,212,18670.58,785,222,LATE
213,213,8148.27,233,34,PAID
214,214,0,0,9674,PAID
215,215,0,0,9718,PAID
216,216,9046.02,701,853,PAID
217,217,14070.66,929,644,UNPAID
219,219,8765.26,864,83,LATE
220,220,5609.32,951,223,LATE
222,222,15103.73,864,45,LATE
223,223,11591.1,186,881,UNPAID
